0,102,0
1,102,0
8,102,0
9,102,0
35,106,2
36,106,2
37,106,2
38,106,2
39,106,2
27,106,2
28,106,2
29,106,2
30,106,2
31,106,2
32,118,2
48,118,2
33,118,2
49,118,2
40,118,2
56,118,2
57,118,2
41,118,2
2,120,1
34,120,1
3,120,1
10,120,1
42,120,1
11,120,1
16,120,1
17,120,1
18,120,1
50,120,1
19,120,1
20,120,1
21,120,1
22,120,1
23,120,1
24,120,1
25,120,1
26,120,1
58,120,1
4,121,1
5,121,1
6,121,1
7,121,1
12,121,1
13,121,1
14,121,1
15,121,1
43,122,2
44,122,2
45,122,2
46,122,2
47,122,2
51,122,2
52,122,2
53,122,2
54,122,2
55,122,2
59,122,2
60,122,2
61,122,2
62,122,2
63,122,2
